term,endorsed_score,opponent_score,difference
kyle,0.00000000,0.01029865,-0.01029865
thing,0.00112691,0.01124511,-0.01011820
going,0.00306608,0.01279180,-0.00972572
virginia,0.00937631,0.00006432,0.00931199
wisconsin,0.00061287,0.00902278,-0.00840991
labor,0.00860709,0.00049955,0.00810754
york,0.00982052,0.00178744,0.00803308
lamont,0.00000000,0.00772399,-0.00772399
brighton,0.00747493,0.00000000,0.00747493
yorker,0.00655850,0.00014481,0.00641369
worker,0.01141027,0.00503295,0.00637732
sure,0.00446082,0.01083590,-0.00637508
think,0.00422879,0.01013057,-0.00590178
fight,0.00851957,0.00262564,0.00589392
elizabeth,0.00026373,0.00601435,-0.00575062
able,0.00120426,0.00693794,-0.00573367
know,0.00313176,0.00869428,-0.00556252
america,0.00095416,0.00645098,-0.00549682
senator,0.00604923,0.00068832,0.00536091
proud,0.00600999,0.00070217,0.00530782
phara,0.00521262,0.00000000,0.00521262
pennsylvania,0.00516471,0.00000000,0.00516471
working_class,0.00541761,0.00028661,0.00513100
union,0.00674137,0.00161453,0.00512684
data,0.00247062,0.00755476,-0.00508414
american,0.00516570,0.01024035,-0.00507465
universal,0.00666875,0.00192387,0.00474488
governor,0.00031020,0.00503398,-0.00472377
casino,0.00009735,0.00479030,-0.00469294
well,0.00202512,0.00652626,-0.00450114
northern,0.00449286,0.00007257,0.00442028
dominion,0.00442022,0.00005429,0.00436593
type,0.00013014,0.00448282,-0.00435268
tenant,0.00509783,0.00086531,0.00423252
mean,0.00199554,0.00619923,-0.00420369
ohne,0.00000000,0.00419847,-0.00419847
marcus,0.00411896,0.00000000,0.00411896
education,0.00963007,0.00551396,0.00411611
queen,0.00048671,0.00459322,-0.00410652
economy,0.00239972,0.00647239,-0.00407267
single_payer,0.00463305,0.00057556,0.00405750
center,0.00396812,0.00798823,-0.00402011
tim,0.00000000,0.00399924,-0.00399924
virginian,0.00398424,0.00000000,0.00398424
bottom,0.00014850,0.00407809,-0.00392959
civil,0.00510484,0.00118287,0.00392197
security,0.00065351,0.00452112,-0.00386760
eviction,0.00393946,0.00017687,0.00376259
council,0.00134904,0.00509575,-0.00374671
minnesotan,0.00379242,0.00004900,0.00374342
corporation,0.00498803,0.00132730,0.00366073
employer,0.00400574,0.00037293,0.00363280
living_wage,0.00372588,0.00012141,0.00360447
making,0.00272793,0.00632864,-0.00360072
free,0.00492106,0.00133318,0.00358788
oasis,0.00000000,0.00349873,-0.00349873
corporate,0.00543802,0.00201065,0.00342736
wage,0.00594644,0.00252131,0.00342514
why,0.00539192,0.00197326,0.00341866
court,0.00412998,0.00071790,0.00341208
sex,0.00350489,0.00009522,0.00340967
justice,0.00669985,0.00334810,0.00335174
school,0.00690601,0.01025512,-0.00334911
borough,0.00000000,0.00333944,-0.00333944
page,0.00374975,0.00708257,-0.00333282
local,0.00301866,0.00631375,-0.00329510
goal,0.00067457,0.00396422,-0.00328965
milwaukee,0.00000000,0.00324636,-0.00324636
select,0.00376152,0.00053755,0.00322398
incredibly,0.00323282,0.00001995,0.00321288
dream,0.00016094,0.00337196,-0.00321102
read,0.00642781,0.00963228,-0.00320447
developer,0.00378659,0.00059189,0.00319469
donation,0.00504573,0.00186792,0.00317781
june,0.00035027,0.00345083,-0.00310056
coverage,0.00433717,0.00124929,0.00308788
including,0.00467654,0.00162159,0.00305495
laws,0.00496511,0.00191977,0.00304534
utilize,0.00055859,0.00358504,-0.00302645
lgbtq,0.00358345,0.00058168,0.00300177
water,0.00225281,0.00523435,-0.00298154
renter,0.00334928,0.00038560,0.00296369
home,0.00690447,0.00397832,0.00292614
voucher,0.00037109,0.00329002,-0.00291893
whether,0.00091191,0.00381904,-0.00290713
happening,0.00000000,0.00289911,-0.00289911
climate,0.00556026,0.00271904,0.00284122
course,0.00000000,0.00282959,-0.00282959
conversation,0.00052017,0.00333266,-0.00281249
sense,0.00012534,0.00293690,-0.00281156
taxpayer,0.00102838,0.00383969,-0.00281131
protect,0.00563798,0.00283207,0.00280592
pipeline,0.00304282,0.00025971,0.00278311
rejecting,0.00277705,0.00001305,0.00276400
top,0.00098025,0.00371985,-0.00273961
technology,0.00094342,0.00368030,-0.00273688
donor,0.00287970,0.00014691,0.00273279
texa,0.00000000,0.00271023,-0.00271023
something,0.00154765,0.00425554,-0.00270789
multi-ethnic,0.00270784,0.00000000,0.00270784
end,0.00621905,0.00351245,0.00270660
borne,0.00000000,0.00269141,-0.00269141
landlord,0.00371994,0.00103883,0.00268111
reproductive,0.00398524,0.00132741,0.00265783
gmail,0.00265607,0.00000000,0.00265607
congress,0.00104297,0.00368945,-0.00264648
link,0.00000000,0.00263277,-0.00263277
lot,0.00055027,0.00317647,-0.00262621
healthcare,0.01377967,0.01115545,0.00262422
employee,0.00322013,0.00061020,0.00260992
legislation,0.00543526,0.00282675,0.00260850
treatment,0.00371815,0.00112448,0.00259367
development,0.00209593,0.00467091,-0.00257498
marcela,0.00256291,0.00000000,0.00256291
prison,0.00334195,0.00078071,0.00256124
opportunity,0.00185236,0.00441087,-0.00255851
minnesota,0.00330455,0.00075123,0.00255332
done,0.00137172,0.00391391,-0.00254220
enact,0.00260077,0.00006604,0.00253473
monopoly,0.00067870,0.00321075,-0.00253205
pension,0.00076470,0.00329512,-0.00253042
district,0.00492921,0.00745934,-0.00253013
voter,0.00356253,0.00103527,0.00252726
responsibility,0.00097370,0.00349496,-0.00252126
tulsi,0.00000000,0.00251986,-0.00251986
colorado,0.00259075,0.00007304,0.00251771
hour,0.00291246,0.00041058,0.00250187
sustained,0.00253057,0.00003176,0.00249881
multi-generational,0.00251365,0.00002714,0.00248650
budget,0.00110616,0.00358903,-0.00248286
cost,0.00497980,0.00746041,-0.00248060
running,0.00361302,0.00114213,0.00247089
expansion,0.00102292,0.00348993,-0.00246701
grassroot,0.00263831,0.00017572,0.00246259
rent,0.00428067,0.00181848,0.00246219
discrimination,0.00332538,0.00086546,0.00245992
massachusett,0.00337611,0.00091897,0.00245714
medicare,0.00016869,0.00260207,-0.00243338
two,0.00048181,0.00290972,-0.00242791
actually,0.00097821,0.00340554,-0.00242733
anthony,0.00270858,0.00028303,0.00242555
democratic,0.00438885,0.00196910,0.00241975
attainable,0.00023372,0.00265176,-0.00241805
sign,0.00084136,0.00325592,-0.00241456
somebody,0.00000000,0.00241441,-0.00241441
housing,0.01208551,0.00969001,0.00239551
noncommitted,0.00239220,0.00000000,0.00239220
every,0.00771051,0.00533202,0.00237850
item,0.00000000,0.00236974,-0.00236974
look,0.00247148,0.00483522,-0.00236373
crisis,0.00564833,0.00329137,0.00235696
addiction,0.00330189,0.00095385,0.00234804
get,0.00347324,0.00580035,-0.00232710
point,0.00055268,0.00287254,-0.00231987
absolutely,0.00027349,0.00259111,-0.00231762
permanent,0.00259874,0.00028311,0.00231563
today,0.00066952,0.00298399,-0.00231447
organizer,0.00242624,0.00011829,0.00230795
problem,0.00197654,0.00427941,-0.00230287
together,0.00440849,0.00210738,0.00230111
certainly,0.00003524,0.00233211,-0.00229687
dental,0.00237193,0.00007552,0.00229642
ferrell,0.00228831,0.00000000,0.00228831
workplace,0.00271469,0.00044390,0.00227078
neighbor,0.00341757,0.00119077,0.00222681
common,0.00058096,0.00280382,-0.00222286
imara,0.00220298,0.00000000,0.00220298
badgercare,0.00024578,0.00244137,-0.00219559
hiral,0.00000000,0.00219194,-0.00219194
toward,0.00333014,0.00114403,0.00218612
business,0.00437320,0.00218745,0.00218575
challenge,0.00041567,0.00259453,-0.00217886
expand,0.00271281,0.00487813,-0.00216532
worked,0.00063307,0.00279635,-0.00216328
stakeholder,0.00241445,0.00025945,0.00215500
safety,0.00436253,0.00220831,0.00215422
affordable_housing,0.00273118,0.00487814,-0.00214697
within,0.00052128,0.00264144,-0.00212016
pay,0.00519081,0.00308364,0.00210717
happened,0.00000000,0.00210635,-0.00210635
proposing,0.00208544,0.00000000,0.00208544
