feature,endorsed_share,opponent_share,shared_emphasis,share_gap
healthcare,0.528736,0.483607,0.483607,0.045129
worker,0.344828,0.286885,0.286885,0.057943
climate_change,0.206897,0.196721,0.196721,0.010176
affordable_housing,0.183908,0.204918,0.183908,0.021010
business,0.218391,0.180328,0.180328,0.038063
union,0.287356,0.172131,0.172131,0.115225
corporate,0.356322,0.172131,0.172131,0.184191
human_right,0.160920,0.131148,0.131148,0.029772
rent,0.149425,0.106557,0.106557,0.042868
market,0.103448,0.147541,0.103448,0.044093
training,0.103448,0.180328,0.103448,0.076880
single_payer,0.160920,0.098361,0.098361,0.062559
minimum_wage,0.137931,0.081967,0.081967,0.055964
technology,0.080460,0.204918,0.080460,0.124458
medicare_for_all,0.068966,0.065574,0.065574,0.003392
green_new_deal,0.103448,0.065574,0.065574,0.037874
tenant,0.103448,0.065574,0.065574,0.037874
public_housing,0.080460,0.032787,0.032787,0.047673
eviction,0.103448,0.032787,0.032787,0.070661
working_class,0.160920,0.032787,0.032787,0.128133
living_wage,0.172414,0.024590,0.024590,0.147824
border,0.022989,0.114754,0.022989,0.091765
small_business,0.011494,0.131148,0.011494,0.119654
