topic_code,topic_name,endorsed_segments,opponent_segments,endorsed_share,opponent_share,difference,mean_similarity,mean_margin
4,Agriculture,220,662,0.025378,0.039480,-0.014102,0.328922,0.063073
12,"Law, crime and justice",1100,2210,0.126889,0.131799,-0.004910,0.321789,0.089722
3,Health,439,1143,0.050640,0.068166,-0.017525,0.333924,0.096675
14,Housing and community development,1526,3000,0.176030,0.178912,-0.002883,0.347480,0.096782
7,Environment,322,508,0.037144,0.030296,0.006848,0.321402,0.057324
1,Macroeconomics,66,243,0.007613,0.014492,-0.006879,0.274710,0.057603
6,Education,565,1014,0.065175,0.060472,0.004702,0.340255,0.104350
10,Transportation,393,852,0.045334,0.050811,-0.005477,0.334251,0.088485
20,Government operations,1189,2212,0.137155,0.131918,0.005237,0.275005,0.079989
23,"Culture, family and social issues",342,548,0.039451,0.032681,0.006770,0.277351,0.043531
13,Social welfare,564,970,0.065059,0.057848,0.007211,0.305537,0.047729
16,Defense and veterans,86,353,0.009920,0.021052,-0.011132,0.280956,0.066507
9,Immigration,420,791,0.048448,0.047173,0.001275,0.320148,0.088076
21,Public lands and water,180,398,0.020764,0.023736,-0.002972,0.313897,0.042689
8,Energy,274,377,0.031607,0.022483,0.009124,0.327079,0.074565
5,Labor and employment,341,273,0.039336,0.016281,0.023055,0.300430,0.084498
17,"Science, technology and communications",82,207,0.009459,0.012345,-0.002886,0.282062,0.067747
2,Civil rights and liberties,360,489,0.041527,0.029163,0.012365,0.303323,0.046602
19,International affairs,119,190,0.013727,0.011331,0.002396,0.297959,0.065222
15,"Business, commerce and consumers",57,258,0.006575,0.015386,-0.008811,0.280332,0.054029
18,Foreign trade,24,70,0.002768,0.004175,-0.001406,0.295202,0.059973
