pattern,canonical_feature
\bmedicare\s+for\s+all\b,medicare_for_all
\bgreen\s+new\s+deal\b,green_new_deal
\buniversal\s+basic\s+income\b,universal_basic_income
\bsingle[-\s]+payer\b,single_payer
\bpublic\s+option\b,public_option
\brent\s+control\b,rent_control
\bsocial\s+housing\b,social_housing
\baffordable\s+housing\b,affordable_housing
\bpublic\s+housing\b,public_housing
\bliving\s+wage\b,living_wage
\bminimum\s+wage\b,minimum_wage
\bworking[-\s]+class\b,working_class
\bsmall\s+business(?:es)?\b,small_business
\bcollective\s+bargaining\b,collective_bargaining
\bclimate\s+change\b,climate_change
\bcriminal\s+justice\b,criminal_justice
\bpublic\s+safety\b,public_safety
\bhuman\s+rights?\b,human_right
\bhealth\s+care\b,healthcare
