feature,dsa_count,democratic_count,z_score,favored_group
working_class,128,13,17.269232,dsa
movement,53,25,14.248541,dsa
worker,154,668,13.998196,dsa
union,63,148,12.337402,dsa
end,82,283,11.763651,dsa
power,67,190,11.749074,dsa
bay,40,9,11.394580,dsa
east,33,21,11.306408,dsa
police,50,117,11.004970,dsa
worker deserve,43,6,10.768896,dsa
deserve,51,131,10.705557,dsa
fight,67,230,10.661663,dsa
tenant,29,23,10.514393,dsa
labor,61,221,9.863665,dsa
organizing,23,18,9.370474,dsa
louis,26,6,9.223745,dsa
build,53,194,9.137102,dsa
capitalism,32,4,9.063183,dsa
transit,28,50,9.011425,dsa
political,52,199,8.810232,dsa
class,36,101,8.649621,dsa
solidarity,19,8,8.470112,dsa
win,18,13,8.321771,dsa
organized,18,14,8.292021,dsa
struggle,24,44,8.278503,dsa
democrat,12,1880,-8.277313,democratic
control,32,88,8.228749,dsa
chapter,21,33,8.074215,dsa
abolish,16,8,7.845346,dsa
plank,20,32,7.844137,dsa
electoral,17,19,7.766989,dsa
mass,23,51,7.611788,dsa
popular,14,9,7.361613,dsa
landlord,15,17,7.280348,dsa
liberation,14,4,6.985797,dsa
end all,16,3,6.975488,dsa
abolition,13,5,6.956317,dsa
universal,31,120,6.751123,dsa
politician,12,13,6.554488,dsa
demand,32,133,6.551135,dsa
exploitation,16,33,6.510986,dsa
labor movement,16,2,6.407767,dsa
oppression,13,21,6.308070,dsa
workplace,24,84,6.306170,dsa
ice,11,15,6.032446,dsa
deserve pdf,26,1,5.971185,dsa
real,15,36,5.964687,dsa
popular vote,9,6,5.898221,dsa
believe,3,979,-5.827739,democratic
ownership,20,70,5.756220,dsa
organize,19,64,5.731283,dsa
politic,12,24,5.696146,dsa
all immigrant,9,10,5.655546,dsa
strike,13,30,5.637403,dsa
collective,10,16,5.545734,dsa
massive,11,21,5.534906,dsa
medicare_for_all,8,7,5.481246,dsa
reparation,8,7,5.481246,dsa
ruling,8,7,5.481246,dsa
profit,20,77,5.439656,dsa
policing,13,35,5.292623,dsa
vision,13,35,5.292623,dsa
american,19,1008,-5.289693,democratic
racist,9,15,5.205739,dsa
carceral,8,2,5.180522,dsa
demilitarize,8,2,5.180522,dsa
green_new_deal,8,2,5.180522,dsa
queer,8,2,5.180522,dsa
budget,19,76,5.175107,dsa
organization,22,99,5.138264,dsa
supremacy,8,12,5.038332,dsa
white supremacy,8,12,5.038332,dsa
social_housing,12,1,5.025775,dsa
genocide,9,17,5.022793,dsa
apartment,7,8,4.966469,dsa
control own,7,2,4.939354,dsa
electoral college,7,2,4.939354,dsa
oppressed,11,1,4.920009,dsa
controlled,7,9,4.867641,dsa
hope,9,19,4.843939,dsa
gaza,8,14,4.842931,dsa
democratically,6,4,4.815696,dsa
housing all,6,4,4.815696,dsa
relationship,14,49,4.815373,dsa
family,17,862,-4.813508,democratic
multi-racial,10,1,4.803916,dsa
black brown,6,5,4.765177,dsa
vacant,7,10,4.764925,dsa
independently,6,6,4.682572,dsa
military budget,6,6,4.682572,dsa
palestine,9,1,4.675187,dsa
task,8,16,4.650555,dsa
free,37,248,4.644240,dsa
decline,6,7,4.583111,dsa
transform,7,12,4.556098,dsa
democratic,70,603,4.530648,dsa
housing,50,387,4.505315,dsa
toward,19,93,4.480400,dsa
parole,8,18,4.464007,dsa
ecological,7,13,4.452402,dsa
society,30,191,4.424857,dsa
guaranteed,9,24,4.421925,dsa
majority,17,79,4.410524,dsa
end war,5,3,4.400876,dsa
nationalist,5,3,4.400876,dsa
hour week,7,1,4.365905,dsa
outside,11,37,4.363494,dsa
brown,6,9,4.363184,dsa
capable,6,9,4.363184,dsa
ceasefire,5,4,4.362116,dsa
far-right,5,4,4.362116,dsa
social,40,293,4.337335,dsa
boston,5,2,4.327769,dsa
jobs program,5,2,4.327769,dsa
national popular,5,2,4.327769,dsa
universal childcare,5,2,4.327769,dsa
building,28,177,4.307054,dsa
scope,5,5,4.274523,dsa
transformation,5,5,4.274523,dsa
won,5,5,4.274523,dsa
fighting,16,75,4.250938,dsa
base,7,15,4.249641,dsa
few,7,15,4.249641,dsa
all,170,1861,4.212041,dsa
crise,8,21,4.197524,dsa
climate crisis,9,27,4.187316,dsa
run,9,27,4.187316,dsa
own live,6,1,4.174331,dsa
victory,6,1,4.174331,dsa
massachusett,15,69,4.174294,dsa
gender-affirming care,5,6,4.164455,dsa
occupation,6,11,4.137975,dsa
socialist,88,0,4.121413,dsa
court,27,175,4.117324,dsa
black,21,121,4.091205,dsa
criminal,16,79,4.082899,dsa
nation,5,477,-4.079673,democratic
sexuality,5,7,4.044491,dsa
truly,5,7,4.044491,dsa
mutual,6,12,4.027357,dsa
fossil fuel,13,57,4.023019,dsa
all worker,12,50,4.003152,dsa
hour,12,50,4.003152,dsa
committee,9,538,-4.002486,democratic
fossil,13,58,3.973498,dsa
preamble,9,30,3.966219,dsa
deportation,7,18,3.961000,dsa
elite,5,1,3.945731,dsa
access,21,784,-3.944863,democratic
boss,4,2,3.922126,dsa
labor relation,4,2,3.922126,dsa
laborer,4,2,3.922126,dsa
national labor,4,2,3.922126,dsa
ownership democratic,4,2,3.922126,dsa
repressive,4,2,3.922126,dsa
richer,4,2,3.922126,dsa
public_housing,6,13,3.919008,dsa
austerity,4,3,3.915682,dsa
canceling,4,3,3.915682,dsa
demanding,4,3,3.915682,dsa
domination,4,3,3.915682,dsa
gender sexuality,4,3,3.915682,dsa
survival,4,3,3.915682,dsa
union labor,4,3,3.915682,dsa
winning,4,3,3.915682,dsa
health,32,1002,-3.888198,democratic
green,11,45,3.879693,dsa
limit,15,77,3.829918,dsa
attack,11,46,3.823296,dsa
higher wage,4,4,3.823196,dsa
gender-affirming,6,14,3.813276,dsa
democracy,33,248,3.808605,dsa
destruction,5,9,3.797774,dsa
electing,5,9,3.797774,dsa
eviction,5,9,3.797774,dsa
water,6,436,-3.761477,democratic
far,10,40,3.753645,dsa
municipal,8,27,3.714107,dsa
boycott,4,5,3.698461,dsa
deductible,4,5,3.698461,dsa
israeli,4,5,3.698461,dsa
money politic,4,5,3.698461,dsa
capital,10,41,3.693644,dsa
sanction,7,21,3.692715,dsa
recruiting,5,10,3.676392,dsa
statehood,5,10,3.676392,dsa
all housing,4,1,3.663038,dsa
demilitarize police,4,1,3.663038,dsa
end economic,4,1,3.663038,dsa
endless,4,1,3.663038,dsa
government economy,4,1,3.663038,dsa
horizon,4,1,3.663038,dsa
immigrant detention,4,1,3.663038,dsa
liberal,4,1,3.663038,dsa
living standard,4,1,3.663038,dsa
night,4,1,3.663038,dsa
racial inequality,4,1,3.663038,dsa
racialized,4,1,3.663038,dsa
short term,4,1,3.663038,dsa
terrain,4,1,3.663038,dsa
children,2,370,-3.659436,democratic
white,14,73,3.651742,dsa
based,22,145,3.648118,dsa
disabled,8,28,3.639606,dsa
effort,7,435,-3.634535,democratic
counsel,6,16,3.610275,dsa
overturn,6,16,3.610275,dsa
historical,7,22,3.607731,dsa
protect,12,532,-3.573967,democratic
defeat,4,6,3.562411,dsa
environmental racism,4,6,3.562411,dsa
form union,4,6,3.562411,dsa
fuel industry,4,6,3.562411,dsa
grassroot,4,6,3.562411,dsa
organized labor,4,6,3.562411,dsa
primarily,4,6,3.562411,dsa
larger,5,11,3.557982,dsa
