feature,dsa_documents,democratic_documents,dsa_share,democratic_share,difference
social_housing,6,1,1.000000,0.026316,0.973684
working_class,6,6,1.000000,0.157895,0.842105
tenant,6,7,1.000000,0.184211,0.815789
small_business,0,30,0.000000,0.789474,-0.789474
green_new_deal,5,2,0.833333,0.052632,0.780702
business,1,31,0.166667,0.815789,-0.649123
human_right,1,29,0.166667,0.763158,-0.596491
medicare_for_all,4,6,0.666667,0.157895,0.508772
climate_change,2,31,0.333333,0.815789,-0.482456
training,2,31,0.333333,0.815789,-0.482456
border,5,14,0.833333,0.368421,0.464912
rent_control,3,2,0.500000,0.052632,0.447368
affordable_housing,1,22,0.166667,0.578947,-0.412281
living_wage,1,20,0.166667,0.526316,-0.359649
technology,2,26,0.333333,0.684211,-0.350877
union,6,26,1.000000,0.684211,0.315789
corporate,5,22,0.833333,0.578947,0.254386
minimum_wage,2,21,0.333333,0.552632,-0.219298
eviction,2,6,0.333333,0.157895,0.175439
public_housing,2,6,0.333333,0.157895,0.175439
public_option,0,6,0.000000,0.157895,-0.157895
worker,6,32,1.000000,0.842105,0.157895
healthcare,6,35,1.000000,0.921053,0.078947
collective_bargaining,1,9,0.166667,0.236842,-0.070175
single_payer,2,10,0.333333,0.263158,0.070175
market,3,21,0.500000,0.552632,-0.052632
universal_basic_income,0,2,0.000000,0.052632,-0.052632
rent,2,11,0.333333,0.289474,0.043860
