source_type,endorsed_segments,opponent_segments,endorsed_share,opponent_share,difference
interview,773,239,0.060589,0.009391,0.051198
policy_page,1318,1360,0.103308,0.053440,0.049868
official_voter_guide,16,1251,0.001254,0.049157,-0.047903
press_release,230,1557,0.018028,0.061181,-0.043153
debate_transcript,0,915,0.000000,0.035954,-0.035954
campaign_page,1440,2159,0.112870,0.084836,0.028034
campaign_website,462,538,0.036213,0.021140,0.015072
official_campaign_page,41,437,0.003214,0.017172,-0.013958
campaign_issue_page,264,222,0.020693,0.008723,0.011970
candidate_questionnaire | questionnaire,58,417,0.004546,0.016386,-0.011840
endorsement_questionnaire,142,0,0.011130,0.000000,0.011130
filing,116,0,0.009092,0.000000,0.009092
candidate_forum,237,261,0.018577,0.010256,0.008321
statement,0,201,0.000000,0.007898,-0.007898
archived official campaign page,0,176,0.000000,0.006916,-0.006916
campaign_press_release,0,149,0.000000,0.005855,-0.005855
archived_campaign_page,109,87,0.008544,0.003419,0.005125
interview_transcript,0,123,0.000000,0.004833,-0.004833
official campaign platform,61,0,0.004781,0.000000,0.004781
official_campaign_platform,152,193,0.011914,0.007584,0.004330
campaign_release,87,279,0.006819,0.010963,-0.004144
speech,0,100,0.000000,0.003929,-0.003929
candidate_questionnaire_excerpt,0,99,0.000000,0.003890,-0.003890
candidate_statement,177,262,0.013874,0.010295,0.003579
archived_campaign_policy_page,0,90,0.000000,0.003536,-0.003536
candidate_profile,48,8,0.003762,0.000314,0.003448
campaign_policy,0,81,0.000000,0.003183,-0.003183
candidate_interview | interview,39,0,0.003057,0.000000,0.003057
candidate_campaign_site,51,25,0.003997,0.000982,0.003015
official_campaign_release,54,34,0.004233,0.001336,0.002897
candidate_questionnaire_interview,0,72,0.000000,0.002829,-0.002829
questionnaire,518,1105,0.040602,0.043420,-0.002818
campaign_statement,91,111,0.007133,0.004362,0.002771
candidate_questionnaire,3237,6388,0.253723,0.251012,0.002711
candidate_interview_transcript,71,203,0.005565,0.007977,-0.002412
campaign_platform,213,367,0.016695,0.014421,0.002274
candidate_debate,0,52,0.000000,0.002043,-0.002043
candidate_interview | candidate_questionnaire,0,49,0.000000,0.001925,-0.001925
attributable_campaign_interview,0,48,0.000000,0.001886,-0.001886
archived_campaign_platform,78,201,0.006114,0.007898,-0.001784
campaign_statement | interview,0,43,0.000000,0.001690,-0.001690
candidate_op_ed,56,69,0.004389,0.002711,0.001678
candidate_interview | questionnaire,0,42,0.000000,0.001650,-0.001650
official_candidate_statement,27,95,0.002116,0.003733,-0.001617
attributable_debate_coverage,0,41,0.000000,0.001611,-0.001611
official_office_page_archived,20,0,0.001568,0.000000,0.001568
campaign_page | campaign_website,42,45,0.003292,0.001768,0.001524
archived_campaign_release,0,38,0.000000,0.001493,-0.001493
archived_campaign_slate_page,19,0,0.001489,0.000000,0.001489
official_press_release,18,0,0.001411,0.000000,0.001411
campaign_announcement_remarks,0,34,0.000000,0.001336,-0.001336
candidate_questionnaire_statement,0,34,0.000000,0.001336,-0.001336
candidate_email,0,32,0.000000,0.001257,-0.001257
campaign_communication,0,32,0.000000,0.001257,-0.001257
campaign_website | official_campaign_platform,16,0,0.001254,0.000000,0.001254
official_campaign,6,41,0.000470,0.001611,-0.001141
campaign_release | candidate_release,14,0,0.001097,0.000000,0.001097
official_campaign_issue_page,0,27,0.000000,0.001061,-0.001061
campaign_announcement,0,26,0.000000,0.001022,-0.001022
official campaign issues page,0,23,0.000000,0.000904,-0.000904
candidate_website,0,21,0.000000,0.000825,-0.000825
campaign_release_quote,0,21,0.000000,0.000825,-0.000825
campaign_ad,10,0,0.000784,0.000000,0.000784
campaign_speech,32,44,0.002508,0.001729,0.000779
campaign_literature | candidate_written_response,0,19,0.000000,0.000747,-0.000747
campaign_literature,0,18,0.000000,0.000707,-0.000707
official_statement,73,128,0.005722,0.005030,0.000692
attributable candidate profile,11,37,0.000862,0.001454,-0.000592
official_voter_guide_video,0,15,0.000000,0.000589,-0.000589
campaign_platform | candidate_profile,0,15,0.000000,0.000589,-0.000589
official campaign priorities,0,15,0.000000,0.000589,-0.000589
candidate_questionnaire | candidate_statement,0,14,0.000000,0.000550,-0.000550
